Academic Year : 2025-26 Even Sem				,,,,,,,,,,,,,,,,,,,,
W.E.F. 27th January 2026		,,,,,,,,,,,,,,,,,,,,
Day ↓ Time →,Class Level,Section Name,08:45-9:40,9:40-10:35,10:35-10:50,10:50 - 11:45,11:45-12:40,12:40-1:40,1:40-2:35,2:35-3:30,03:30-03:40,3:40-4:30,Course Code,Course Name,Category,Abbreviation_course,Assigned Faculty,Faculty_Abbreviation,EMP_ID,Session Type
TUESDAY,SY,DA1,OS:PB:N-605,CN:RK:N-605,Short Break,SE:SH:N-605,SP:KL:N-607/ DV:IR:N-605,Long Break,WP:RB:S-614,WP:RB:S-614,Short Break,mentor Meeting,24IT1105,Android Application Development,ELECTIVE-I,AAD,Prof. Reetika Kerketta,RK,1020022,P
TUESDAY,SY,DA2,OS:PB:N-605,CN:RK:N-605,Short Break,SE:SH:N-605,SP:KL:N-607/ DV:IR:N-605,Long Break,WP:RR:S-611,WP:RR:S-611,Short Break,mentor Meeting,23IT3300,DevOps Engineering,PCC,DEVOPS,Prof. Ashvini jadhav,AJ,1020356,L
TUESDAY,SY,SMAD,CN:JN:S-601,SE:SH:S-601,Short Break,WP:PK:S-614,WP:PK:S-614,Long Break,OS:PB:S-601,CN:JN:S-601,Short Break,mentor Meeting,23IT3300,DevOps Engineering,PCC,DEVOPS,Prof. Rohini Bhosale,RB,1020316,L
TUESDAY,TY,Core1,AS:RHB:N-609,AT:RAB:N-609,Short Break,FAI:SS:N-609,LIBRARY SLOT,Long Break,APS:SCIL:N-605,APS:SCIL:N-605,Short Break,Project Meeting,23IT3300,DevOps Engineering Lab,PCC,DEVOPSL,Prof. Rohini Bhosale,RB,1020316,P
TUESDAY,TY,Core2,AS:RHB:N-609,AT:RAB:N-609,Short Break,FAI:SS:N-609,LIBRARY SLOT,Long Break,APS:SCIL:N-605,APS:SCIL:N-605,Short Break,Project Meeting,23IT3300,DevOps Engineering Lab,PCC,DEVOPSL,Prof. Ashvini jadhav,AJ,1020356,P
TUESDAY,TY,Core3,AS:RHB:N-609,AT:RAB:N-609,Short Break,FAI:SS:N-609,LIBRARY SLOT,Long Break,APS:SCIL:N-605,APS:SCIL:N-605,Short Break,Project Meeting,23IT3302,Foundation of Artificial Intelligence,PCC,FAI,Prof. Jyoti Nandimath,JN,1020381,L
TUESDAY,TY,DA1,UED:PK:N-611/       NLP:KL:N-607,ISM:AG:N-611/SC:RN:N-607,Short Break,FAI:JN:S-611,DEVOPS:RB:S-611,Long Break,APS:SCIL:N-605,APS:SCIL:N-605,Short Break,Project Meeting,23IT3302,Foundation of Artificial Intelligence,PCC,FAI,Prof. Swati Singh,SS,1020493,L
TUESDAY,TY,DA2,UED:PK:N-611/       NLP:KL:N-607,ISM:AG:N-611/SC:RN:N-607,Short Break,FAI:JN:S-611,DEVOPS:RB:S-611,Long Break,APS:SCIL:N-605,APS:SCIL:N-605,Short Break,Project Meeting,23IT3311,Automation Testing,ELECTIVE-III,AT,Prof. Rupali Bhatkhande,RAB,1020755,L
TUESDAY,TY,SMAD,DEVOPSL:AJ:S-610,DEVOPSL:AJ:S-610,Short Break,AT:RAB:S-610,DEVOPS:AJ:S-610,Long Break,APS:SCIL:N-605,APS:SCIL:N-605,Short Break,Project Meeting,23IT3311,Automation Testing Lab,ELECTIVE-III,ATL,Prof. Rupali Bhatkhande,RAB,1020755,P
TUESDAY,LY,Core1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3317,Application Security,ELECTIVE-IV,AS,Prof. Rahul Bhole,RHB,1020487,L
