Day,Start Time,End Time,Subject Code,Faculty Name,Class Level,Section Name,Session Type,Batch,Room Number
FRIDAY,12:00 PM,11.45,JP,RAB,SY,DA,Lecture,2,S 610
FRIDAY,10:48 AM,9.4,DBPL,,SY,SMAD,Practical,,S 611
FRIDAY,12:00 PM,11.45,MFC-III TUT,,SY,SMAD,Tutorial,,N-601
FRIDAY,10:48 AM,12.4,DBP,,SY,SMAD,Lecture,,
FRIDAY,10:48 AM,9.4,NSL,RHB,TY,Core,Practical,1,N 613
FRIDAY,10:48 AM,9.4,FSDL,RK,TY,Core,Practical,1,S 614
FRIDAY,12:00 PM,11.45,FMLL,PB,TY,Core,Practical,1,S 614
FRIDAY,9:36 AM,2.35,PBL,,TY,Core,Lecture,1,
FRIDAY,10:48 AM,9.4,HHV,PS,TY,DA,Lecture,1,N 605
FRIDAY,10:48 AM,9.4,CV,NF2,TY,DA,Lecture,1,N 611
FRIDAY,10:48 AM,12.4,MDOE,,TY,DA,Lecture,1,
FRIDAY,12:00 PM,11.45,TOC TUT,IR,TY,DA,Tutorial,2,N 605
FRIDAY,10:48 AM,9.4,MDOE,,TY,SMAD,Lecture,,
FRIDAY,10:48 AM,9.4,PROJECT PHASE 1,,LY,Core-I,Practical,,
FRIDAY,12:00 PM,11.45,PROJECT PHASE 1,,LY,Core-I,Practical,,
FRIDAY,9:36 AM,2.35,PROJECT PHASE 1,,LY,Core-I,Practical,,
FRIDAY,9:36 AM,4.3,LIBRATY SLOT,,LY,Core-I,Lecture,,
MONDAY,10:48 AM,9.4,DBPL,JN,SY,DA,Practical,1,S 611
MONDAY,10:48 AM,9.4,AA,SK,TY,Core,Lecture,1,N 605
MONDAY,12:00 PM,11.45,NS,RHB,TY,Core,Lecture,1,N 605
MONDAY,12:00 PM,11.45,FSD,RK,TY,Core,Lecture,1,S 601
MONDAY,9:36 AM,2.35,TOC TUT,,TY,DA,Tutorial,1,S-601
MONDAY,10:48 AM,9.4,week1&3: APL III BI,SH,LY,Core-I,Lecture,,S 610 Week 2 &4: APL III NLP(KL)N 613
MONDAY,12:00 PM,11.45,NLP,KL,LY,Core-I,Lecture,,N 607
MONDAY,10:48 AM,12.4,BI,SH,LY,Core-I,Lecture,,N 607
MONDAY,9:36 AM,2.35,ISL,SK,LY,Core-I,Practical,,N 611
MONDAY,10:48 AM,9.4,week1&3: APL III NLP,KL,LY,Core II,Lecture,,N 613 Week 2 &4 : APL III BI(SH) S 610
MONDAY,10:48 AM,9.4,BDE,SA,LY,DA-I,Lecture,,N 607
MONDAY,9:36 AM,10.35,DL,AJ,LY,DA-I,Lecture,,N 607
MONDAY,12:00 PM,11.45,DLL,AJ,LY,DA-I,Lecture,,S 610
MONDAY,9:36 AM,2.35,BI,SH,LY,DA-I,Lecture,,N 607
MONDAY,12:00 PM,11.45,BDE,SA,LY,DA-II,Lecture,,N 613
MONDAY,9:36 AM,2.35,BI,PS,LY,SMAD,Lecture,,N 609
MONDAY,8:24 AM,3.3,PEM,RAB,LY,SMAD,Lecture,,N 609
TUESDAY,10:48 AM,9.4,JP,RAB,SY,DA,Lecture,1,S 610
TUESDAY,12:00 PM,11.45,DSA,PK,SY,DA,Lecture,1,N 605
